test,stat,p-value,n
pearson,0.373353486118264,0.07233039143765625,24
spearman,0.23668347938261786,0.2654839031760584,24
pearson_trim,0.42232618842939346,0.05023251581717436,22
spearman_trim,0.12890611019610976,0.5675088147825648,22
